UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
11,1,34,2,11,1000,1.77007179
11,1,38,8,8,970,1.799870428
11,1,36,4,12,1000,1.704955017
11,1,45,2,7,600,1.674563104
11,0,49,4,10,1000,1.810539927
11,1,44,4,10,800,1.741427298
11,0,73,8,1,0,1.799846494
11,0,56,2,6,200,1.492688377
11,0,33,8,4,1400,1.66788028
11,0,27,2,12,2500,1.827358586
11,0,49,2,4,3000,1.774589199
11,0,57,8,2,1100,1.709833981
11,0,41,8,17,2000,1.7085447
11,0,39,2,11,1400,1.827305281
11,0,23,8,5,788,1.70508676
11,0,39,8,9,1400,1.785680605
11,0,35,4,4,1000,1.645685159
11,0,30,8,4,600,1.754153474
11,0,35,8,4,788,1.772827632
11,0,36,2,4,500,1.718663746
11,0,37,8,4,1500,1.7149494
11,0,60,4,1,1400,1.650202938
11,0,38,2,9,600,1.727064502
11,0,43,2,9,800,1.765924712
11,0,42,2,9,1200,1.742593838
11,0,51,2,9,2500,1.76866907
11,1,33,8,12,1200,1.764367928
11,0,46,2,1,2000,1.713904438
11,1,29,4,15,1300,1.745392257
11,0,40,8,9,800,1.59311812
11,1,46,8,1,550,1.591341012
11,0,25,2,6,975,1.864178568
11,0,32,8,5,1500,1.790890146
11,0,40,2,12,1200,1.67198338
11,0,26,4,9,1145,1.717498162
11,1,49,8,1,1200,1.632010545
11,0,37,8,9,1500,1.701369066
11,0,24,4,12,1200,1.542187487
11,1,40,8,9,850,1.784559772
11,0,39,8,10,1200,1.679341936
11,0,39,8,11,900,1.772286883
11,0,41,8,2,1200,1.669996473
11,0,36,8,9,2500,1.661693983
11,1,37,8,11,400,1.719933842
11,0,28,4,12,1100,1.728302429
11,0,32,2,12,1200,1.653043786
11,0,24,4,12,2500,1.620771725
11,0,39,2,14,4000,1.510171114
11,0,33,2,16,2500,1.623599656
11,1,49,8,6,788,1.701556571
11,0,37,2,12,2000,1.566850054
11,0,35,4,12,788,1.570629405
11,1,55,8,9,380,1.891911461
11,0,24,8,12,836,1.665663657
11,0,34,8,15,1250,1.709368199
11,0,27,2,12,1325,1.607844631
11,0,50,2,8,1550,1.787377877
11,0,53,6,8,1800,1.608399085
11,0,67,4,1,1500,1.763905316
11,0,52,2,12,20000,1.635818853
11,0,42,8,5,3000,1.738460556
11,1,66,2,1,1600,1.826377869
11,0,47,2,4,788,1.738136803
11,0,60,8,9,1400,1.72215259
11,0,29,2,11,580,1.682925706
11,0,55,2,5,1500,1.727120107
11,0,55,2,5,1000,1.76526822
11,0,56,2,5,100,1.731027167
11,0,69,2,9,0,1.611123982
11,0,51,2,4,1000,1.615538212
11,1,25,8,12,390,1.629709329
11,0,49,8,3,788,1.726483566
11,0,61,4,4,1800,1.538167873
11,1,54,8,1,400,1.738933215
11,0,37,8,7,1500,1.651192628
11,0,39,2,9,2000,1.666723724
11,0,52,2,5,350,1.781144172
11,0,48,2,2,1600,1.71785355
11,0,40,8,8,1600,1.513863366
11,0,73,2,1,1000,1.553525857
11,0,49,2,3,788,1.72315498
11,0,45,8,16,3000,1.743084772
11,0,80,2,5,2000,1.66802203
11,0,45,8,12,10000,1.7471745
11,1,34,4,16,900,1.777475303
11,0,65,2,7,6000,1.840835531
11,1,23,2,15,1600,1.730926053
11,0,52,2,12,1300,1.723572813
11,1,32,8,12,1400,1.559549881
11,1,36,8,12,1400,1.729987752
11,0,28,2,16,3500,1.592238852
11,0,48,2,12,2500,1.636973911
11,0,36,8,12,1700,1.654289422
11,0,48,2,9,4500,1.732583823
11,1,42,2,12,1700,1.627887329
11,1,46,2,12,4124,1.718625846
11,1,51,8,12,1500,1.59485698
11,0,26,8,12,1200,1.731993035
11,0,25,8,13,1000,1.871046059
11,0,27,8,12,1200,1.763705326
11,0,28,8,12,1600,1.579531361
11,1,37,8,11,950,1.709822149
11,0,26,8,11,1500,1.674497651
11,0,27,8,11,1500,1.692249071
11,0,41,8,16,4000,1.706601775
11,0,49,2,6,900,1.772734561
11,0,32,8,16,6000,1.727408774
11,0,41,4,1,3000,1.778035651
11,0,30,2,16,6000,1.735782272
11,0,79,2,12,0,1.787522442
11,0,52,8,15,2200,1.789394412
11,0,36,2,12,2000,1.639359278
11,0,35,8,16,4000,1.738335643
11,0,50,8,1,1000,1.743165296
11,0,53,8,1,1400,1.554162354
11,1,32,8,5,788,1.772603355
11,1,36,2,9,788,1.677731391
11,0,52,4,9,1700,1.684526315
11,0,55,8,1,1000,1.727906955
11,0,42,2,16,3000,1.720236047
11,0,35,8,5,1500,1.679200749
11,0,71,2,6,1100,1.739955274
11,0,31,4,1,1000,1.758267501
11,1,43,8,12,1100,1.717289179
11,0,51,8,9,1200,1.660772859
11,0,37,8,9,2580,1.649140632
11,0,38,8,17,1900,1.707080223
11,1,35,8,16,2150,1.679997644
11,0,26,2,12,1800,1.73665454
11,1,50,8,6,300,1.681007713
11,0,59,8,5,1300,1.691254559
11,0,25,8,12,788,1.714962843
11,1,42,2,16,2800,1.72502471
11,0,41,8,5,1440,1.660942452
11,0,38,8,5,850,1.711345558
11,1,36,2,16,9000,1.724220376
11,0,32,8,15,7800,1.729626334
11,0,45,8,5,1200,1.614643223
11,1,26,2,11,1500,1.656445512
11,1,28,2,12,3000,1.668200817
11,0,29,8,6,400,1.648669596
11,1,30,8,7,550,1.837242863
11,1,36,8,12,1200,1.741514536
11,0,25,8,12,1500,1.735279131
11,0,26,8,6,1100,1.758025719
11,1,44,8,6,900,1.61644168
11,1,19,2,12,2300,1.804838993
11,0,34,6,16,8000,1.649053073
11,0,36,8,13,1400,1.807143241
11,1,36,8,16,5000,1.654739706
11,0,39,2,3,2500,1.65973197
11,0,32,8,12,1490,1.833820401
11,0,57,8,3,2300,1.752300365
11,1,28,2,5,430,1.739136095
11,0,28,2,9,400,1.636523743
11,1,36,8,12,300,1.749389281
11,0,46,8,10,160,1.700809575
11,0,49,2,16,900,1.594849162
11,0,39,8,4,688,1.844883796
11,0,49,2,9,400,1.654019078
11,0,55,2,3,1000,1.816873908
11,0,60,8,9,0,1.715936556
11,0,55,8,9,8000,1.837528846
11,1,22,2,16,805,1.815143228
11,0,42,8,12,6000,1.740019168
11,0,35,2,16,2000,1.610327007
11,0,38,8,12,850,1.776701002
11,0,29,2,16,5200,1.605596826
11,0,66,4,2,789,1.710531655
11,0,48,2,1,2000,1.60734188
11,0,34,8,16,5000,1.671755171
11,1,49,8,12,400,1.606770127
11,0,49,2,9,1800,1.564118322
11,0,62,2,12,4000,1.712222929
11,0,28,4,12,1000,1.745179769
11,1,32,8,6,200,1.612323235
11,0,41,2,1,250,1.811847854
11,0,52,8,3,800,1.727525317
11,0,43,8,12,1600,1.759334993
11,0,39,2,8,800,1.679203572
11,0,37,8,6,1600,1.728953956
11,0,67,8,1,1000,1.643999861
11,0,54,2,5,2500,1.735019871
11,0,77,8,1,250,1.791420938
11,0,64,8,4,1000,1.715299407
11,0,58,2,1,10000,1.722839364
11,0,57,8,3,1200,1.804646938
11,0,43,8,13,1200,1.778950307
11,0,64,8,5,3000,1.705584335
11,0,52,2,7,1200,1.733608819
11,0,52,8,1,2500,1.753327657
11,1,26,8,15,1000,1.817722725
11,0,41,2,12,2700,1.706976565
11,0,24,8,16,1300,1.772257117
11,1,31,8,6,500,1.76083604
11,1,29,2,14,1000,1.711327999
11,0,41,8,5,1500,1.76445333
11,0,44,8,6,1900,1.634594403
11,1,38,2,7,1300,1.721233932
11,1,62,8,10,300,1.62495925
11,0,59,2,1,788,1.784691602
11,1,60,2,3,788,1.709539664
11,0,48,2,5,2500,1.740528997
11,0,56,2,2,788,1.721948047
11,1,32,2,9,1020,1.624170747
11,1,43,8,1,600,1.610421713
11,1,26,8,12,1920,1.715418767
11,0,57,4,5,1500,1.730241951
11,0,39,8,1,788,1.587156567
11,0,45,2,12,1000,1.794884073
11,0,51,8,2,2500,1.715059812
11,0,34,2,12,789,1.838923596
11,1,40,4,7,830,1.631127346
11,1,36,2,12,1000,1.530269667
11,0,55,8,7,1800,1.755595003
11,0,49,2,8,2300,1.835355316
11,0,39,8,12,800,1.672349006
11,1,39,8,6,788,1.641681806
11,1,38,4,16,1200,1.700708687
11,1,17,2,11,230,1.840929648
11,0,51,2,16,2364,1.617595593
11,1,56,2,7,500,1.609445009
11,1,45,8,1,1800,1.709539346
11,0,57,2,3,3650,1.638209027
11,0,69,2,1,850,1.699977664
11,1,38,8,5,0,1.726380083
11,0,31,2,9,2000,1.533781023
11,0,54,8,1,1500,1.793828782
11,0,41,2,5,700,1.785477747
11,0,43,2,4,750,1.608269896
11,0,40,2,5,800,1.698189024
11,0,39,8,1,1200,1.664920063
11,0,42,2,4,1400,1.729185303
11,0,58,8,1,750,1.654449975
11,1,23,8,9,300,1.822339604
11,1,43,8,10,788,1.530682737
11,0,38,8,6,400,1.840644739
11,0,38,2,16,400,1.754663691
11,1,38,4,6,788,1.698167372
11,0,37,8,1,788,1.594890204
11,1,59,8,4,1500,1.534158814
11,0,50,8,7,1500,1.680383502
11,0,31,2,16,3000,1.7207937
11,0,44,8,12,1400,1.781007987
11,0,27,8,12,1000,1.634692307
11,1,36,8,12,800,1.879012232
11,0,37,8,7,800,1.730865592
11,0,49,8,12,700,1.858994735
11,0,55,8,8,900,1.731334193
11,0,37,4,9,788,1.81014312
11,1,52,8,12,788,1.553276832
11,1,38,8,1,400,1.77528698
11,1,66,8,16,2000,1.729180189
11,0,63,2,12,3000,1.849865103
11,1,31,8,15,300,1.770795407
11,1,49,8,12,1300,1.79307671
11,0,46,2,6,1200,1.720288563
11,0,45,8,8,1500,1.776154971
11,1,33,4,10,200,1.72527463
11,0,58,4,8,1600,1.672713166
11,0,54,8,3,1200,1.553054861
11,0,72,8,1,1500,1.734895336
11,0,70,8,1,400,1.604257134
11,0,50,8,6,350,1.739618858
11,0,64,2,5,2400,1.745479841
11,0,61,8,5,0,1.598207291
11,0,53,8,1,788,1.837902771
11,0,38,8,6,800,1.651160293
11,0,72,8,1,0,1.657999179
11,0,22,2,8,1100,1.779518039
11,0,50,2,13,2500,1.92579977
11,0,49,8,2,0,1.798253592
11,0,41,2,16,2000,1.676554676
11,0,31,2,14,3000,1.728661239
11,0,44,2,16,5000,1.749771342
11,0,41,2,16,3500,1.576958875
11,0,42,8,9,3500,1.556648626
11,0,18,8,10,800,1.69346055
11,0,41,4,5,800,1.720577135
11,1,23,8,14,850,1.793628846
11,0,37,8,9,850,1.685051771
11,1,47,2,17,788,1.813393331
11,0,19,8,9,1500,1.651605414
11,0,35,8,9,1000,1.581273642
11,0,33,8,12,1200,1.735513155
11,1,34,8,10,800,1.618622823
11,0,36,8,6,2000,1.619677459
11,1,38,2,8,1000,1.693734834
11,1,33,8,16,2000,1.610727425
11,0,58,8,1,800,1.600100393
11,1,46,8,9,788,1.800521066
11,0,56,8,4,1300,1.619059013
11,0,34,8,12,2500,1.673185626
11,0,28,8,6,1000,1.799869738
11,0,27,8,12,3500,1.680026871
11,0,28,8,4,800,1.672872093
11,0,22,2,9,788,1.747933413
11,0,44,4,9,1500,1.717878112
11,0,32,8,9,1600,1.72177337
11,0,36,8,8,1700,1.845530572
11,0,39,8,7,2000,1.73888129
11,0,45,8,16,1000,1.836743013
11,1,39,4,9,100,1.726598949
11,1,21,2,9,788,1.735220523
11,0,26,8,12,1400,1.638165938
11,0,44,8,16,1200,1.717992835
11,0,40,8,5,1500,1.49861126
11,0,57,2,5,1300,1.680255885
11,0,40,4,8,600,1.651368209
11,0,41,8,6,900,1.727758113
11,0,44,2,4,1200,1.655147987
11,0,40,8,5,2000,1.75275962
11,0,44,8,12,900,1.789949139
11,0,51,8,1,2000,1.752622471
11,0,35,8,4,900,1.673762837
11,0,22,8,1,788,1.654788996
11,0,44,8,4,900,1.607891899
11,0,31,8,9,1500,1.686726382
11,0,22,8,12,788,1.567346954
11,0,61,2,16,10000,1.618431434
11,1,26,8,10,788,1.779590173
11,0,56,8,12,2800,1.856666759
11,0,53,8,9,788,1.643559757
11,0,37,8,1,788,1.754062252
11,0,24,2,11,2000,1.701151149
11,1,34,2,12,789,1.778533399
11,0,25,8,14,1500,1.686974776
11,1,40,2,14,2800,1.723082263
11,0,63,8,9,3000,1.664390525
11,0,36,8,12,1200,1.778775969
11,1,32,8,13,2000,1.604770597
11,0,50,2,9,1000,1.748451233
11,0,47,8,7,2500,1.738575623
11,1,45,8,16,1150,1.743459633
11,0,36,2,5,2000,1.711175816
11,0,46,2,9,5000,1.793000554
11,0,47,2,12,3000,1.789784135
11,0,56,2,16,8000,1.709297771
11,0,46,8,6,1200,1.673878003
11,0,47,8,12,2500,1.689472643
11,0,52,8,9,10000,1.728276901
11,1,23,8,7,788,1.711909504
11,0,38,4,12,2400,1.779836869
11,0,52,2,9,3000,1.639235512
11,0,29,8,16,1900,1.802592345
11,0,40,8,16,7500,1.736740461
11,0,58,8,12,3310,1.724049175
11,0,28,8,5,900,1.584638218
11,0,52,8,1,800,1.732961146
11,0,38,8,6,3500,1.6859077
11,0,22,8,12,1000,1.684574172
11,0,49,2,5,8500,1.711913319
11,1,59,8,5,250,1.580498823
11,0,42,2,2,950,1.727489959
11,0,40,8,4,1300,1.830929004
11,0,20,8,9,1500,1.661791496
11,1,58,8,16,2000,1.777485465
11,0,51,8,12,7000,1.65469875
11,0,62,8,12,6000,1.774268264
11,0,36,2,12,3400,1.741173403
11,1,46,2,12,788,1.653608061
11,0,54,8,12,1200,1.743742384
11,1,51,8,12,780,1.727718085
11,0,37,2,12,788,1.733625776
11,0,22,8,11,2000,1.745545114
11,0,21,8,7,1400,1.671334076
11,0,47,8,16,1800,1.574972387
11,1,38,8,6,900,1.684613226
11,0,69,2,1,1182,1.683305087
11,0,68,8,1,600,1.733743937
11,0,57,8,16,4200,1.724617047
11,1,36,4,12,788,1.630642529
11,1,47,8,13,150,1.49652401
11,0,59,2,13,4000,1.819988588
11,0,53,8,16,7000,1.788792734
11,1,46,2,16,1700,1.63075336
11,1,59,2,9,80,1.840218073
11,0,44,8,12,800,1.637466793
11,0,29,8,12,1000,1.847668727
11,1,50,8,6,2000,1.740231338
11,1,54,4,5,788,1.582048118
11,1,47,8,5,870,1.633458627
11,0,33,8,7,1200,1.661903251
11,0,63,8,1,200,1.74140719
11,1,37,8,11,1100,1.796194806
11,0,61,4,5,1000,1.817428265
11,0,42,2,9,2000,1.669562863
11,1,34,8,10,200,1.697745534
11,0,37,4,16,4300,1.758374665
11,0,39,2,12,2000,1.574776992
11,0,36,8,4,1200,1.674280747
11,0,56,8,2,1070,1.628137374
11,0,59,2,6,1000,1.831915196
11,0,46,2,9,800,1.783098992
11,0,48,2,16,5000,1.749381315
11,0,59,8,1,350,1.693126416
11,0,20,8,8,500,1.722843495
11,0,41,8,10,500,1.691885531
11,0,61,2,1,1100,1.846371672
11,0,27,2,12,1200,1.70121296
11,1,50,8,4,788,1.652795699
11,0,74,2,3,1000,1.576525886
11,1,59,8,9,400,1.48963102
11,0,36,8,4,788,1.759130275
11,0,57,4,5,150,1.54189054
11,0,34,2,9,3000,1.661599897
11,0,40,8,12,1300,1.767950664
11,0,52,8,5,200,1.752975967
11,0,29,8,11,788,1.794573155
11,1,59,4,2,250,1.664267692
11,0,43,8,12,1000,1.71799009
11,0,43,8,6,788,1.686677201
11,1,39,8,9,788,1.662565011
11,0,38,2,12,2000,1.803529273
11,1,27,4,1,600,1.632839736
11,0,36,2,12,600,1.608022778
11,0,56,8,8,4500,1.757959655
11,0,34,4,12,1000,1.797798255
11,0,61,8,3,788,1.802870341
11,0,32,2,9,1400,1.822337228
11,1,53,2,6,500,1.794157648
11,0,59,4,12,0,1.71723851
11,0,57,8,8,350,1.797763391
11,0,38,8,12,920,1.740909945
11,1,35,2,16,2400,1.60081945
11,1,40,2,6,800,1.774058089
11,0,34,8,5,4800,1.756893984
11,0,31,8,12,3000,1.650361065
11,0,34,2,9,1200,1.739312464
11,0,34,8,11,1500,1.516083715
11,0,22,2,8,2500,1.595411434
11,0,64,2,12,1500,1.765973824
11,0,53,2,16,1500,1.725466892
11,0,36,2,12,1500,1.801506807
11,0,29,2,9,1000,1.544522834
11,0,49,2,2,2000,1.7441112
11,0,35,8,9,1300,1.757073127
11,0,21,8,12,1200,1.628301491
11,1,30,8,5,1400,1.643452224
11,0,52,8,5,1000,1.824898197
11,0,37,2,5,1500,1.735052943
11,1,57,8,10,1000,1.742390154
11,0,31,8,15,2500,1.659751587
11,0,58,8,5,200,1.700024429
11,0,34,8,7,1270,1.654674812
11,0,49,8,4,788,1.638713738
11,1,31,2,13,1200,1.802602651
11,1,38,8,9,1500,1.723881965
11,0,27,8,11,45000,1.711432277
11,0,38,8,12,1200,1.470500966
11,0,48,8,9,1100,1.659497716
11,0,44,8,9,150,1.660081705
11,0,54,2,4,500,1.708818446
11,0,60,8,2,1500,1.629835718
11,0,20,2,7,1200,1.841180046
11,0,39,2,5,1500,1.673606441
11,0,51,4,9,2600,1.677800592
11,0,42,8,12,3500,1.632194458
11,0,29,2,16,2400,1.71899259
11,0,58,8,1,100,1.73507318
11,0,35,8,7,750,1.793295734
11,0,34,2,5,900,1.643410333
11,0,65,2,1,5000,1.591437177
11,0,58,8,1,1500,1.729774165
11,0,46,8,11,1000,1.795602005
11,0,48,2,9,5000,1.878888606
11,0,57,2,5,1400,1.633582728
11,0,33,8,1,900,1.835061062
11,0,43,8,4,1500,1.647803708
11,0,43,2,12,1200,1.600814618
11,0,52,8,1,788,1.632018283
11,0,25,8,6,788,1.818162348
11,0,50,2,5,2000,1.938219796
11,0,54,8,9,2000,1.689681081
11,0,50,8,12,2000,1.721098092
11,0,46,2,1,1200,1.80760251
11,1,41,2,9,2000,1.642779839
11,1,44,8,9,788,1.768451647
11,0,46,8,5,1290,1.787446875
11,0,34,8,9,1500,1.687085031
11,0,38,8,16,1200,1.779971788
11,0,39,8,12,2500,1.790373592
11,0,51,8,5,1800,1.63438931
11,1,56,8,5,1000,1.771446912
11,0,55,4,11,2500,1.659927923
11,0,25,8,12,1700,1.732264604
11,1,45,2,16,2790,1.736428899
11,0,50,2,12,4500,1.716311954
11,1,45,8,9,300,1.67693427
11,0,33,8,10,5000,1.554324044
11,1,44,2,9,800,1.700327481
11,1,31,8,12,900,1.769213266
11,0,28,8,6,788,1.716753566
11,1,44,8,12,788,1.685663101
11,0,43,8,14,2500,1.630635256
11,1,63,8,1,788,1.744265847
11,0,43,8,5,788,1.724572016
11,1,32,4,16,3000,1.638588786
11,0,41,8,12,3800,1.645344266
11,0,38,8,3,1250,1.674346134
11,0,51,2,2,7000,1.651326889
11,0,51,2,5,788,1.829220181
11,0,53,8,13,600,1.744919126
11,0,70,2,9,1800,1.726928865
11,0,35,8,9,1400,1.753004118
11,0,24,8,6,800,1.666092391
11,0,24,8,3,788,1.701570601
11,0,31,8,5,1300,1.759899141
11,0,37,8,5,788,1.738154498
11,0,29,8,11,788,1.719857234
11,0,37,8,14,9166,1.590401776
11,0,60,8,5,800,1.601185216
11,0,41,8,9,1800,1.736646997
11,0,53,8,5,2000,1.764600898
11,0,28,4,16,1200,1.601647796
11,1,46,4,6,830,1.735162704
11,0,53,4,4,1500,1.652838949
11,0,51,8,7,1500,1.717794781
11,0,36,4,12,1500,1.595072521
11,1,40,8,12,1200,1.802349896
11,0,45,2,9,2000,1.734871203
11,0,31,8,12,2930,1.727978431
11,0,53,2,12,4000,1.738939197
11,1,36,8,12,788,1.599621457
11,1,36,2,12,2000,1.71741644
11,1,25,8,16,3000,1.690922841
11,0,57,2,7,1024,1.872197277
11,0,45,8,5,1180,1.737031462
11,1,25,8,10,1024,1.668380341
11,1,56,8,9,1500,1.661298441
11,0,51,8,5,1500,1.739808863
11,0,52,2,6,2000,1.737023146
11,1,36,8,12,4000,1.668929205
11,0,47,4,5,1200,1.793472954
11,0,41,2,4,1200,1.63945453
11,0,36,8,10,876,1.668913269
11,0,65,2,1,1200,1.741768243
11,1,28,8,7,788,1.720581004
11,1,35,8,6,1050,1.714215577
11,0,44,4,1,1300,1.627893883
11,1,28,4,16,1300,1.674079918
11,0,55,2,5,1300,1.671770544
11,0,30,2,11,1100,1.731413237
11,0,52,8,5,2000,1.745307398
11,1,35,8,12,924,1.68631318
11,1,33,2,14,1300,1.688207437
11,1,53,8,5,950,1.729308485
11,0,45,8,2,1300,1.608898658
11,0,28,8,16,1100,1.651719029
11,0,52,4,1,1500,1.619082673
11,0,57,8,7,500,1.695018316
11,0,64,8,12,3500,1.732562628
11,0,18,2,6,850,1.656058521
11,1,29,8,10,150,1.849817114
11,0,30,4,12,2300,1.830687045
11,0,53,2,2,950,1.716740569
11,1,40,2,5,0,1.524765388
11,0,66,2,3,0,1.583388674
11,0,79,2,1,0,1.701305267
11,0,61,8,4,0,1.501365177
11,0,30,2,6,1000,1.784353173
11,1,57,2,5,0,1.857015897
11,0,59,2,9,2200,1.6704857
11,0,57,2,9,788,1.735252047
11,1,54,2,5,0,1.68360919
11,0,40,8,4,2000,1.88805068
11,1,35,8,16,2800,1.646633258
11,1,53,8,9,800,1.635723778
11,1,27,8,12,1500,1.821008343
11,1,39,8,5,900,1.65459276
11,1,43,8,5,500,1.810206973
11,0,49,2,9,2100,1.686090922
11,1,48,8,5,600,1.774940134
11,1,41,8,8,1100,1.672973537
11,0,45,8,5,2000,1.65206235
11,0,18,8,6,1300,1.6020506
11,1,44,8,9,788,1.798133121
11,0,45,8,4,1800,1.821418605
11,0,76,8,1,700,1.670244987
11,0,48,8,5,1800,1.558440775
11,0,45,4,11,1100,1.671353801
11,0,36,8,3,960,1.773339254
11,1,43,8,12,1200,1.768764139
11,0,52,8,9,1200,1.833451087
11,0,57,8,7,4000,1.570823445
11,1,36,8,12,1500,1.857665509
11,1,33,8,12,2800,1.75602453
11,1,49,8,9,2000,1.630093629
11,0,35,8,9,788,1.681992124
11,0,39,8,6,500,1.798168872
11,0,64,2,1,1200,1.570177157
11,0,17,8,8,1500,1.664838435
11,1,38,8,12,788,1.747170663
11,0,24,8,10,150,1.594984883
11,0,38,8,8,1500,1.771504715
11,0,79,8,2,788,1.60828134
11,0,27,4,7,850,1.692077571
11,0,53,0,16,5000,1.795226841
11,1,41,8,15,1800,1.669960483
11,1,52,2,8,1000,1.61824255
11,0,37,4,1,500,1.574998288
11,0,49,8,1,788,1.585016502
11,0,32,8,16,2000,1.704333546
11,0,38,8,16,7000,1.675371019
11,1,38,8,12,1700,1.757063361
11,1,36,8,12,800,1.810624385
11,1,48,8,12,1600,1.602868929
11,0,45,2,16,2300,1.765989809
11,0,41,8,12,2100,1.824642841
11,0,29,2,14,1600,1.68740102
11,0,27,4,12,1500,1.742067465
11,0,26,2,10,2000,1.661044216
11,1,62,8,16,5000,1.715905532
11,1,38,2,12,3500,1.706776733
11,0,30,8,12,788,1.604348712
11,0,32,8,12,788,1.830261405
11,1,58,4,16,7900,1.652553812
11,0,55,8,12,3500,1.742965538
11,0,49,2,16,7000,1.72807826
11,0,51,4,16,22000,1.541531313
11,1,49,8,9,1000,1.657550579
11,0,38,2,12,3500,1.738773659
11,0,61,8,9,3000,1.679746926
11,1,52,8,9,1200,1.717279175
11,0,36,8,16,2000,1.814042188
11,0,60,8,9,1200,1.731421671
11,0,50,4,12,1000,1.659162513
11,0,19,2,12,1038,1.599199489
11,1,39,8,12,1500,1.67380591
11,1,28,2,12,960,1.782378902
11,0,46,4,12,2000,1.690184964
11,1,26,2,12,1800,1.678516521
11,0,28,8,9,4000,1.667701065
11,1,67,8,1,350,1.788186562
11,0,53,8,9,800,1.757001214
11,1,60,2,9,1200,1.641231809
11,0,44,2,12,2000,1.69556588
11,0,33,4,10,2200,1.623202978
11,1,47,4,16,1800,1.735598267
11,0,41,8,12,3500,1.699669911
11,0,39,4,10,2500,1.72619545
11,0,61,2,5,1000,1.792885399
11,1,36,4,8,1000,1.800078178
11,0,62,2,7,2000,1.890473633
11,0,55,4,12,2300,1.728085366
11,0,20,2,12,1200,1.74681775
11,0,56,8,9,400,1.6320393
11,0,63,2,5,2000,1.840867827
11,1,39,4,13,1200,1.701507284
11,1,38,8,16,3000,1.674761863
11,0,55,8,16,1700,1.703936187
11,0,27,8,12,954,1.782654676
11,0,48,8,12,5000,1.70719226
11,0,27,8,1,1500,1.750377102
11,0,46,2,6,1700,1.626210317
11,0,35,8,16,6700,1.614816998
11,1,40,8,12,800,1.594853316
11,0,32,8,16,2300,1.687850978
11,1,37,8,12,1000,1.639267524
11,0,24,2,12,3800,1.809345538
11,0,41,8,10,788,1.767168603
11,1,60,2,1,2500,1.722736429
11,0,33,2,9,1045,1.793044565
11,0,59,8,1,2000,1.618819048
11,1,22,2,16,1600,1.79596722
11,0,46,2,16,8000,1.682799688
11,0,20,8,16,900,1.601152785
11,0,59,2,5,2000,1.897358
11,0,33,2,12,2500,1.701665687
11,0,65,8,8,1800,1.724195324
11,0,27,8,12,3800,1.743380447
11,0,43,2,12,2500,1.681796206
11,0,65,2,7,4500,1.838394168
11,1,46,8,16,3500,1.624286809
11,0,50,4,3,1100,1.65195125
11,1,47,4,9,1000,1.774440785
11,0,40,8,5,700,1.611998872
11,1,43,8,7,1100,1.806637121
11,0,44,4,12,1600,1.827703363
11,1,45,2,7,788,1.745952846
11,0,28,8,12,1600,1.492575374
11,0,22,8,15,3500,1.826349463
11,1,47,4,16,6000,1.753381034
11,1,53,8,15,3500,1.642661739
